날짜,카테고리,상품명,수량,단가
2026-04-02,헤드셋,오픈형 스튜디오 모니터링 헤드폰,4,215000
2026-04-03,노트북,프로 노트북 16인치 M4 Max 64GB 통합메모리 모델,12,3890000
2026-04-04,모니터,휴대용 모니터 15.6인치,10,268000
2026-04-04,헤드셋,오픈형 스튜디오 모니터링 헤드폰,5,215000
2026-04-06,마우스,무선 게이밍 마우스 8K 폴링,6,129000
2026-04-06,헤드셋,게이밍 헤드셋 7.1 서라운드,4,132000
2026-04-09,마우스,버티컬 인체공학 마우스,10,58000
2026-04-12,모니터,휴대용 모니터 15.6인치,5,268000
2026-04-12,키보드,기계식 키보드 텐키리스 적축,5,148000
2026-04-12,키보드,커스텀 알루미늄 하우징 기계식 키보드 풀배열,11,389000
2026-04-14,마우스,무선 게이밍 마우스 8K 폴링,2,129000
2026-04-14,키보드,커스텀 알루미늄 하우징 기계식 키보드 풀배열,3,389000
2026-04-15,노트북,경량 사무용 노트북 14인치,7,1290000
2026-04-15,마우스,무선 게이밍 마우스 8K 폴링,7,129000
2026-04-15,모니터,4K 무결점 IPS 모니터 27인치,1,620000
2026-04-16,모니터,울트라와이드 커브드 게이밍 모니터 34인치 240Hz,5,1180000
2026-04-16,모니터,울트라와이드 커브드 게이밍 모니터 34인치 240Hz,6,1180000
2026-04-17,키보드,기계식 키보드 텐키리스 적축,2,148000
2026-04-18,키보드,기계식 키보드 텐키리스 적축,5,148000
2026-04-18,키보드,무선 저소음 멤브레인 키보드,10,42000
2026-04-19,모니터,4K 무결점 IPS 모니터 27인치,6,620000
2026-04-19,헤드셋,노이즈캔슬링 무선 헤드셋 오버이어,10,349000
2026-04-20,헤드셋,노이즈캔슬링 무선 헤드셋 오버이어,11,349000
2026-04-22,마우스,초경량 무선 마우스 48g,5,96000
2026-04-22,헤드셋,게이밍 헤드셋 7.1 서라운드,11,132000
2026-04-23,노트북,프로 노트북 16인치 M4 Max 64GB 통합메모리 모델,2,3890000
2026-04-23,키보드,무선 저소음 멤브레인 키보드,4,42000
2026-04-24,마우스,초경량 무선 마우스 48g,2,96000
2026-04-25,마우스,버티컬 인체공학 마우스,7,58000
2026-04-25,키보드,커스텀 알루미늄 하우징 기계식 키보드 풀배열,7,389000
2026-04-25,헤드셋,게이밍 헤드셋 7.1 서라운드,3,132000
2026-04-26,노트북,프로 노트북 16인치 M4 Max 64GB 통합메모리 모델,8,3890000
2026-04-27,모니터,울트라와이드 커브드 게이밍 모니터 34인치 240Hz,11,1180000
2026-04-28,노트북,경량 사무용 노트북 14인치,8,1290000
2026-04-29,노트북,프로 노트북 16인치 M4 Max 64GB 통합메모리 모델,8,3890000
2026-04-29,헤드셋,오픈형 스튜디오 모니터링 헤드폰,5,215000
2026-04-29,헤드셋,오픈형 스튜디오 모니터링 헤드폰,5,215000
2026-05-01,마우스,무선 게이밍 마우스 8K 폴링,9,129000
2026-05-01,모니터,울트라와이드 커브드 게이밍 모니터 34인치 240Hz,2,1180000
2026-05-01,키보드,기계식 키보드 텐키리스 적축,3,148000
2026-05-01,키보드,무선 저소음 멤브레인 키보드,5,42000
2026-05-02,노트북,경량 사무용 노트북 14인치,4,1290000
2026-05-03,노트북,게이밍 노트북 17인치 RTX 5080 탑재 한정판,10,4250000
2026-05-03,노트북,경량 사무용 노트북 14인치,9,1290000
2026-05-06,모니터,울트라와이드 커브드 게이밍 모니터 34인치 240Hz,4,1180000
2026-05-06,헤드셋,노이즈캔슬링 무선 헤드셋 오버이어,12,349000
2026-05-07,노트북,경량 사무용 노트북 14인치,7,1290000
2026-05-07,모니터,휴대용 모니터 15.6인치,1,268000
2026-05-08,헤드셋,오픈형 스튜디오 모니터링 헤드폰,5,215000
2026-05-09,모니터,4K 무결점 IPS 모니터 27인치,11,620000
2026-05-09,키보드,기계식 키보드 텐키리스 적축,10,148000
2026-05-09,헤드셋,게이밍 헤드셋 7.1 서라운드,1,132000
2026-05-10,마우스,초경량 무선 마우스 48g,2,96000
